Country/Region;region;1/22/20;1/23/20;1/24/20;1/25/20;1/26/20;1/27/20;1/28/20;1/29/20;1/30/20;1/31/20;2/1/20;2/2/20;2/3/20;2/4/20;2/5/20;2/6/20;2/7/20;2/8/20;2/9/20;2/10/20;2/11/20;2/12/20;2/13/20;2/14/20;2/15/20;2/16/20;2/17/20;2/18/20;2/19/20;2/20/20;2/21/20;2/22/20;2/23/20;2/24/20;2/25/20;2/26/20;2/27/20;2/28/20;2/29/20;3/1/20;3/2/20;3/3/20;3/4/20;3/5/20;3/6/20;3/7/20;3/8/20;3/9/20;3/10/20;3/11/20;3/12/20;3/13/20;3/14/20;3/15/20;3/16/20;3/17/20;3/18/20;3/19/20;3/20/20;3/21/20;3/22/20;3/23/20;3/24/20;3/25/20
West Bank and Gaza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,75;1,2857142857142856;0,0;0,1875;0,368421052631579;0,15384615384615374;0,0;0,03333333333333344;0,12903225806451624;0,08571428571428563;0,0;0,026315789473684292;0,05128205128205132;0,07317073170731714;0,06818181818181812;0,02127659574468077;0,08333333333333326;0,13461538461538458;0,0;-1,0169491525423728
Grenada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0
Saint Vincent and the Grenadines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Papua New Guinea;AS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,0
Timor-Leste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0
Somalia;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Libya;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0
Saint Kitts and Nevis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf
Guinea-Bissau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf
Nicaragua;SA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;1,0;0,0;0,0;0,0;0,0
Belize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;1,0
Mauritania;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Mali;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf
Bhutan;AS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0
Laos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,5
Central African Republic;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0
Chad;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;2,0;0,0
Liberia;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;1,0;0,0;0,0;0,5;0,0;0,0;0,0;0,0
Nepal;AS;;;;inf;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,5
Zimbabwe;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;2,0;0,0;0,0;0,0;0,0
Saint Lucia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0
Sudan;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,5;0,0
Antigua and Barbuda;SA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0
Angola;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;1,0;0,0;0,5;0,0;0,0
Gambia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,0;1,0;0,5;0,0
Guinea;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0
Holy See;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0
Cabo Verde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;2,0;0,0;0,0;0,0;0,33333333333333326
Eritrea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;3,0
Eswatini;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;0,0
Congo (Brazzaville);AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,33333333333333326;0,0;0,0
Bahamas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;2,0;0,0;0,33333333333333326;0,0;0,0;0,25;0,0
Syria;AS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;4,0
Mozambique;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;2,0;0,6666666666666667
Fiji;OC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;1,0;0,5;0,33333333333333326;0,25
Guyana;SA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;3,0;0,0;0,75;0,0;0,0;0,0;0,0;1,7142857142857144;0,05263157894736836;-0,75;0,0
Gabon;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,0;2,0;0,33333333333333326;0,25;0,0;0,19999999999999996;0,0
Benin;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;1,0;0,0;0,0;0,0;0,0;1,5;0,19999999999999996;0,0
Seychelles;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,5;0,33333333333333326;0,0;0,5;0,16666666666666674;0,0;0,0;0,0;0,0;0,0
Namibia;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0,0;0,33333333333333326;0,75;0,0
Niger;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;1,0;0,5;0,0;1,3333333333333335
Dominica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;1,0;0,0;2,5
Haiti;SA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;2,0;0,16666666666666674;0,1428571428571428
Suriname;SA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,25;0,0;0,3999999999999999;0,1428571428571428
Equatorial Guinea;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;3,0;0,5;0,0;0,0;0,0;0,5;0,0;0,0
El Salvador;SA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;2,0;0,0;0,0;0,6666666666666667;0,8
Mongolia;AS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,0;0,0;4,0;0,19999999999999996;0,0;0,0;0,6666666666666667;0,0;0,0;0,0;0,0
Djibouti;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;2,0;0,0;2,6666666666666665
Zambia;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,5;0,0;0,0;3,0
Tanzania;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;2,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0
Ethiopia;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;4,0;0,0;0,19999999999999996;0,0;0,5;0,0;0,22222222222222232;0,0;0,09090909090909083;0,0
Maldives;AS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,5;0,33333333333333326;0,0;0,125;0,11111111111111116;0,30000000000000004;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Uganda;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;8,0;0,0;0,5555555555555556
Barbados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;1,5;0,0;0,19999999999999996;1,3333333333333335;0,2142857142857142;0,05882352941176472;0,0
Madagascar;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;3,0;0,41666666666666674;0,11764705882352944
Togo;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,0;0,7777777777777777;0,0;0,125;0,11111111111111116;0,1499999999999999
Guatemala;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;1,0;2,0;0,0;0,5;0,33333333333333326;0,41666666666666674;0,11764705882352944;0,05263157894736836;0,050000000000000044;0,1428571428571428
Jamaica;SA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;1,0;3,0;0,0;0,25;0,0;0,19999999999999996;0,08333333333333326;0,15384615384615374;0,06666666666666665;0,0;0,1875;0,0;0,10526315789473695;0,23809523809523814
Kenya;AF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;2,0;0,0;0,0;0,0;1,3333333333333335;0,0;0,0;1,1428571428571428;0,06666666666666665;0,5625;0,1200000000000001
Monaco;EU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;2,5;0,0;0,0;0,0;0,5714285714285714;0,0;1,0909090909090908;0,0;0,0;0,34782608695652173
Bolivia;SA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,5;2,3333333333333335;0,0;0,10000000000000009;0,0;0,09090909090909083;0,0;0,25;0,2666666666666666;0,26315789473684204;0,125;0,07407407407407418;0,10344827586206895
Honduras;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,5;1,0;0,33333333333333326;0,125;0,33333333333333326;1,0;0,0;0,08333333333333326;0,15384615384615374;0,0;0,19999999999999996
Paraguay;SA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;4,0;0,0;0,19999999999999996;0,0;0,0;0,33333333333333326;0,125;0,22222222222222232;0,0;0,18181818181818188;0,3846153846153846;0,22222222222222232;0,0;0,2272727272727273;0,37037037037037046
Bangladesh;AS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0,0;0,0;0,0;0,0;0,0;0,0;0,6666666666666667;0,6000000000000001;0,25;0,3999999999999999;0,2142857142857142;0,17647058823529416;0,25;0,08000000000000007;0,22222222222222232;0,18181818181818188;0,0
